HEKaverageedited,K562averageedited,HEKpercentile,K562percentile
52.07691650295029,1.9590116763213568,70.89614925505107,62.759317862165965
,0.2758977012581662,,39.143811533052045
50.35504953249377,2.53709344944726,70.12246341571246,66.58315752461323
58.71229538194012,0.1622286768694655,74.11910340863875,35.13097749648382
46.82156197547058,0.4930730661101934,68.49993368407091,44.62464838255977
8.51217541153834,0.4157541288357677,47.548521154781376,42.84898030942335
64.0298188471428,2.724292809241882,77.38626818161723,67.62482419127988
68.60881684556996,2.7034730963296107,80.88332817542774,67.48417721518987
29.16011671355939,1.852267634699034,60.727706795172196,61.990154711673696
51.468244903334224,2.48196951089744,70.62646447676731,66.2710970464135
79.74298062226255,13.666305732593289,93.26230160484549,88.54166666666666
74.16547037994066,17.3521325166062,86.46270834254388,90.76564697609001
3.3041006530334305,0.0,38.77271320571201,14.176775668073136
55.3946745327175,4.205576892650232,72.42583668597197,73.80450070323488
54.16786685287405,3.9597921946928953,71.78920376674476,72.93424753867792
41.42439431913115,2.4949807895350906,66.0374021840046,66.3414205344585
63.27049292356414,3.6920783006687103,76.9132145541359,71.88379043600563
,,,
72.25916668457819,1.6289050545872117,84.38038816923824,60.056258790436004
,,,
64.44638658661596,34.9508345587873,77.61616340244927,96.18934599156118
66.69680073446223,19.895912593834783,79.27848269154251,91.9479606188467
26.398097513215863,4.2813684320624175,59.50749369998674,74.11216596343179
71.94990675705941,5.234147422259992,84.11070339095451,76.85478199718706
65.75052474214229,4.2780391737174215,78.53574428577744,74.09898030942334
,0.1021770490334005,,32.42791842475386
2.594717568228836,0.0,36.57986648392944,14.176775668073136
80.61152022236804,8.215774466725321,94.27472478889429,82.87183544303798
72.77108949493324,3.0486517721533986,84.91533666386665,69.13677918424754
48.69659085824103,1.2652863989720138,69.41509350546,56.53568917018285
4.918503202413334,0.0,42.45103673902471,14.176775668073136
35.112572887438844,0.4694325626337013,63.38476502055794,44.132383966244724
47.7313309727632,0.4980998833986395,68.95530306379592,44.74331926863572
21.746349603671245,0.3766478342749529,57.15548874839737,41.928182137834035
4.188046215909993,0.1972386587771203,40.96555992749458,36.46272855133615
,3.639987884443789,,71.69919127988749
69.12955763044704,2.5082360691158936,81.32101330739644,66.41174402250351
67.80176861832344,4.174894715144393,80.25111631813961,73.707805907173
57.31839230449726,3.813245060414261,73.35868075511738,72.3540787623066
73.55865483237807,7.492569953229494,85.77302268004775,81.75545007032349
73.85761107631069,4.765454194076537,86.09133913966134,75.60214486638537
1.3344406851688404,0.8078391875445886,30.660064547504312,50.48347398030943
24.42436448924313,1.1607187672539274,58.530439011450554,55.32260900140648
0.1141552511415525,0.0,16.30708696228834,14.176775668073136
45.81143951833607,2.193530801268872,68.01803793271144,64.4690576652602
6.6332050179421485,0.5576846466546149,45.25399000840002,45.93442334739803
13.524800173304849,0.1060445387062566,52.018214775188994,32.612517580872016
18.651393215907188,0.0423549343498517,55.39590609664441,29.509493670886076
1.0581790078023048,0.0,28.732481542066406,14.176775668073136
1.6109817106315896,0.277680271002246,32.30469958884124,39.18336849507735
3.61951976077928,0.0801282051282051,39.62597815995402,31.35988045007032
3.093269252209649,0.0,38.25102789690084,14.176775668073136
74.98990639715872,3.191403872032584,87.38671028781113,69.80485232067511
68.29595306157806,3.877975630766917,80.64901189265662,72.61779184247538
,,,
24.15083544555596,2.628710837449354,58.39338609133914,67.06663150492264
55.82776020988828,2.060833626153151,72.66457403068218,63.52408579465541
12.615802555087486,2.272851431021628,51.33295017463194,64.98769338959212
14.692262790930036,0.0,52.80958486228392,14.176775668073136
64.23134168778569,3.6692533215255767,77.4923736681551,71.80907172995781
90.77189348249622,68.10657336511777,99.93810513285291,99.37148382559775
36.93077506356319,1.6703608979823814,64.17613510765285,60.381504922644154
0.0,0.0,6.664750873159734,14.176775668073136
15.077072475305776,0.0,53.07926964056766,14.176775668073136
4.786614843117548,0.0,42.20787833237544,14.176775668073136
,,,
30.71343463214781,0.1205404550613895,61.42623458154649,33.3201476793249
